type_code,count,class_id,class_name
workstation-chair,265406,17,workstation-chair
meeting-room-chair,241399,16,meeting-room-chair
workstation-desk,239113,7,workstation-desk
work-space,202994,4,work-space
storage-cabinet,84021,3,storage-cabinet
meeting-room-desk,45202,8,meeting-room-desk
wall,43724,6,wall
desk,27337,10,desk
meeting-space,25415,2,meeting-space
couch,19623,18,couch
storage,18488,15,storage
circulation,18239,22,circulation
utility-room,17729,24,utility-room
void,11385,19,void
toilets,11186,9,toilets
lift,10939,5,lift
support-space,10131,14,support-space
georeferencing-anchor,8886,1,georeferencing-anchor
stairs,8388,12,stairs
unit-separator,5831,34,unit-separator
glass-wall,5750,37,glass-wall
pouchair,4718,29,pouchair
lounge,2543,21,lounge
laboratory,2542,45,laboratory
corridor,2459,41,corridor
floor-outline,2156,11,floor-outline
pavement,1973,49,pavement
hallway,1932,23,hallway
consultation-room,1509,35,consultation-room
rack,1419,62,rack
opening,1354,61,opening
bench,1229,33,bench
break-area-desk,1224,119,break-area-desk
break-area-couch,1208,63,break-area-couch
lobby,1193,25,lobby
classroom,1170,39,classroom
office-equipment-accessories,1141,31,office-equipment-accessories
patient-room,1037,113,patient-room
workstation,727,59,workstation
help-desk,716,32,help-desk
cafes-coffee-tea-houses,599,20,cafes-coffee-tea-houses
undefined,574,183,undefined
sports-recreation,470,36,sports-recreation
chair,462,104,chair
child-care,343,30,child-care
parking-spot,311,42,parking-spot
vestibule,311,28,vestibule
waiting-seats,294,144,waiting-seats
entrance-exit,288,86,entrance-exit
terrace,284,13,terrace
seating,265,44,seating
shower,238,66,shower
examination-room,234,83,examination-room
parking-row,233,126,parking-row
kitchenette,196,60,kitchenette
security-safety,181,65,security-safety
tiered-seating,143,46,tiered-seating
ward,138,103,ward
escalator,131,38,escalator
road,99,79,road
entrance,93,52,entrance
x-ray-scanner,91,131,x-ray-scanner
nurse-station,89,84,nurse-station
virtual-obstacle,79,64,virtual-obstacle
imaging-unit,78,93,imaging-unit
waiting-area,78,72,waiting-area
operating-room,68,54,operating-room
preparation-room,64,55,preparation-room
faith-worship,53,125,faith-worship
theatre,52,98,theatre
kitchen-appliances,51,112,kitchen-appliances
registration,49,70,registration
ramp,49,76,ramp
vending-machine,48,87,vending-machine
phone-booth,47,51,phone-booth
restaurant,45,73,restaurant
library,45,43,library
team-space,44,26,team-space
external-wall,43,110,external-wall
game-table,38,99,game-table
x-ray-conveyor-belt,38,175,x-ray-conveyor-belt
checkout,38,74,checkout
event-space,37,141,event-space
blood-draw,34,181,blood-draw
booth,32,75,booth
treatment-room,29,53,treatment-room
print-copy,29,56,print-copy
unspecified,28,111,unspecified
tree,26,171,tree
foyer,26,97,foyer
day-room,25,117,day-room
workshop,23,81,workshop
cosmetics-beauty-supplies,23,162,cosmetics-beauty-supplies
gardens,20,91,gardens
private-education-room,20,146,private-education-room
breakroom,20,133,breakroom
nourishment,18,114,nourishment
art-dealers-galleries,16,120,art-dealers-galleries
display,16,123,display
dry-cleaning-ironing-laundry,16,68,dry-cleaning-ironing-laundry
auditorium,16,88,auditorium
cosmetology,16,197,cosmetology
service-lift,16,80,service-lift
exit,15,69,exit
parking-service,15,105,parking-service
isolation-room,15,118,isolation-room
atrium,15,71,atrium
patio,15,85,patio
cloak-room,15,140,cloak-room
showroom,14,135,showroom
stage,14,128,stage
dental-office,14,204,dental-office
decontamination-unit,14,116,decontamination-unit
bar,13,134,bar
on-call-room,13,180,on-call-room
kiosk,12,122,kiosk
park-garden,12,40,park-garden
garden-feature,11,129,garden-feature
clothing,11,107,clothing
display-area,10,138,display-area
manufacturing-space,9,100,manufacturing-space
mothers-room,9,50,mothers-room
exhibition-hall,9,48,exhibition-hall
baby-care-hygiene,9,137,baby-care-hygiene
therapy-rehabilitation-room,8,177,therapy-rehabilitation-room
womens-restroom,8,58,womens-restroom
atm,8,127,atm
pharmacy,8,78,pharmacy
rooming-in,8,201,rooming-in
mens-restroom,8,57,mens-restroom
emergency-room-er,7,147,emergency-room-er
jewellery-watches,7,163,jewellery-watches
arcade-game-room,7,92,arcade-game-room
tennis-court,7,186,tennis-court
dispensary,7,148,dispensary
lecture-hall,7,130,lecture-hall
bridge,7,124,bridge
home-garden,6,166,home-garden
specialised-workshop,6,67,specialised-workshop
paint-workshop,6,154,paint-workshop
mail-room,6,173,mail-room
post-services,6,152,post-services
concert-hall-performance-venue,6,77,concert-hall-performance-venue
deli-buffet,5,184,deli-buffet
books-stationery,5,158,books-stationery
water,5,156,water
observation-room,5,115,observation-room
food-beverage,5,90,food-beverage
womens-locker-room,5,145,womens-locker-room
swimming-pool,5,198,swimming-pool
office-supply,4,121,office-supply
media-room,4,106,media-room
department-store,4,168,department-store
smoking-room,4,102,smoking-room
accessories-gifts,4,164,accessories-gifts
catering,4,101,catering
dictation-unit,4,149,dictation-unit
sports-equipment-accessories,4,47,sports-equipment-accessories
finance,4,157,finance
conference-hall,4,143,conference-hall
preparation-and-finishing-workshop,4,153,preparation-and-finishing-workshop
canopy,4,190,canopy
laundromat,3,178,laundromat
water-refill-station,3,200,water-refill-station
triage,3,94,triage
ablution-room,3,187,ablution-room
development-lab,3,212,development-lab
mens-locker-room,3,176,mens-locker-room
walkway,3,191,walkway
telecommunication-services,3,109,telecommunication-services
chapel,3,185,chapel
tickets,2,207,tickets
museum,2,179,museum
cinema,2,205,cinema
gymnasium,2,210,gymnasium
it-services,2,108,it-services
testing-space,2,174,testing-space
security-check,2,159,security-check
trolleys,2,142,trolleys
trauma-kit,2,132,trauma-kit
basketball-court,2,96,basketball-court
respiratory-care-unit,2,150,respiratory-care-unit
cardiology-department,2,151,cardiology-department
hobbies-leisure,2,155,hobbies-leisure
building-entrance-exit,2,139,building-entrance-exit
computers-electronics,2,167,computers-electronics
currency-exchange,1,208,currency-exchange
pregnancy-sexual-health,1,209,pregnancy-sexual-health
passage,1,136,passage
medical-surgical-unit,1,206,medical-surgical-unit
car-services,1,82,car-services
heliport,1,211,heliport
parks,1,95,parks
outpatient-department,1,203,outpatient-department
oncology,1,202,oncology
experience,1,27,experience
research-facility,1,213,research-facility
ticket-office,1,89,ticket-office
trolley-point,1,196,trolley-point
guest-room,1,199,guest-room
fitness-studio,1,172,fitness-studio
football-field,1,195,football-field
refreshment-room,1,194,refreshment-room
quarantine,1,193,quarantine
bereavement-room,1,192,bereavement-room
refuge-station,1,189,refuge-station
food-drink-stall,1,188,food-drink-stall
arrival-lounge,1,160,arrival-lounge
womens-clothing,1,161,womens-clothing
amusement-park,1,165,amusement-park
smaland,1,182,smaland
childrens-clothing,1,169,childrens-clothing
shoes,1,170,shoes
obstetrics-gynaecology,1,214,obstetrics-gynaecology
